,[2021-01-22T14:25:58.048Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.050Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.051Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.079Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.079Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.080Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.083Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.084Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.084Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.086Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.087Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.087Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.089Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.089Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.090Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.551Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.552Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.552Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.554Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.555Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.555Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.633Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.634Z] %c action     color: #03A9F4; font-weight: bold [object Object] 
,[2021-01-22T14:25:58.634Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:25:59.711Z] enabling detailed logs 
,[2021-01-22T14:26:01.747Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:01.748Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_DELETE_START"} 
,[2021-01-22T14:26:01.748Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.485Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.486Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_DELETE_SUCCESS","payload":{"id":"3327","name":"perfanalyzertest-x5y8c","organizationId":"1114","org":"choreouser","displayName":"perfanalyzertest-x5y8c","displayType":"API","gitRemote":"https://github.com/integration-apps/choreouser-perfanalyzertest-x5y8c.git","workingFile":"/apps/choreouser/perfanalyzertest-x5y8c/project/choreo.bal","deployType":"Service","createdAt":"2021-01-22T12:37:22Z","observability":{},"status":"stopped"}} 
,[2021-01-22T14:26:02.486Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.587Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.588Z] %c action     color: #03A9F4; font-weight: bold {"type":"SET_APP_LIST_ROWS_PER_PAGE","payload":10} 
,[2021-01-22T14:26:02.589Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.617Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.618Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_LIST_FETCH_START"} 
,[2021-01-22T14:26:02.619Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.776Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.777Z] %c action     color: #03A9F4; font-weight: bold {"type":"APP_LIST_FETCH_SUCCESS","payload":[]} 
,[2021-01-22T14:26:02.777Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.780Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:02.781Z] %c action     color: #03A9F4; font-weight: bold {"type":"OAUTH_CONFIG_LIST_FETCH_START"} 
,[2021-01-22T14:26:02.781Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
